s_no,start,end,file,t_0,t_1,toa,snr
1,1243394048,1243394560,[1],0.000102,0.021285,337.868896,38.031763
2,1243394496,1243395008,[1],0.000241,0.092866,63.424561,11.305445
5,1243395840,1243396352,[1],8.8e-05,0.018176,97.584229,596.362651
6,1243396288,1243396800,[1],0.000169,0.068348,274.760254,21.383898
8,1243397184,1243397696,[1],0.000203,0.008694,166.818115,15.228667
9,1243397632,1243398144,[1],0.00205,0.012544,343.125732,762.256646
10,1243398080,1243398592,"[1,2]",0.000632,0.265252,432.696289,7611.507106
11,1243398528,1243399040,[2],0.018763,0.046713,43.012695,2519.033903
12,1243398976,1243399488,[2],0.109444,0.190951,385.892334,95.842455
13,1243399424,1243399936,[2],0.000121,0.062684,111.952148,264.856696
15,1243400320,1243400832,[2],0.004579,0.01944,244.279785,378.409944
16,1243400768,1243401280,[2],0.005398,0.017357,117.625732,248.199206
20,1243402560,1243403072,[3],0.000367,0.075118,39.723877,3584.844888
21,1243403008,1243403520,[3],0.070369,0.133258,210.166748,576.107406
22,1243403456,1243403968,[3],0.001631,0.010162,61.358398,388.825701
23,1243403904,1243404416,[3],0.078712,0.110508,91.783447,21.860232
24,1243404352,1243404864,[3],0.01402,0.042492,187.376953,89.575507
26,1243405248,1243405760,[3],0.105928,0.181534,41.959961,485.307596
28,1243406144,1243406656,"[3,4]",0.025746,0.070632,238.751709,358.702066
29,1243406592,1243407104,[4],3.8e-05,0.023408,162.452881,1444.26311
31,1243407488,1243408000,[4],0.003887,0.020541,240.725098,126.087015
32,1243407936,1243408448,[4],0.027641,0.050753,297.160889,647.393372
33,1243408384,1243408896,[4],0.000163,0.011005,301.107422,721.564528
34,1243408832,1243409344,[4],0.139711,0.18272,420.106201,10.995464
35,1243409280,1243409792,[4],0.000109,0.04389,106.995361,159.909889
36,1243409728,1243410240,[4],0.044521,0.082888,306.882568,1193.010628
39,1243411072,1243411584,[5],0.000449,0.143827,28.131104,74.565099
40,1243411520,1243412032,[5],0.003679,0.01851,82.651611,882.370583
44,1243413312,1243413824,[5],0.008653,0.025859,60.977295,531.154124
45,1243413760,1243414272,[5],0.002788,0.01113,42.993896,55.737417
46,1243414208,1243414720,"[5,6]",0.00036,0.124848,374.064941,17.150389
48,1243415104,1243415616,[6],0.08917,0.18728,223.397461,343.402157
49,1243415552,1243416064,[6],0.000119,0.048621,56.1604,35.6937
51,1243416448,1243416960,[6],0.000261,0.094175,202.855225,18.170309
53,1243417344,1243417856,[6],0.000974,0.201675,235.71582,20.737746
54,1243417792,1243418304,[6],0.00801,0.02504,400.411377,43.597869
56,1243418688,1243419200,[7],4e-05,0.021672,419.351562,2147.962163
58,1243419584,1243420096,[7],0.006741,0.022486,403.028076,32.093088
60,1243420480,1243420992,[7],0.02219,0.047925,231.618896,280.886314
61,1243420928,1243421440,[7],3.7e-05,0.004347,261.706787,24.023999
64,1243422272,1243422784,"[7,8]",0.019872,0.048221,24.283447,1652.354781
65,1243422720,1243423232,[8],0.090509,0.029016,57.694092,9.373508
67,1243423616,1243424128,[8],0.000121,0.015343,353.603027,827.71519
68,1243424064,1243424576,[8],0.011131,0.030803,160.870361,1039.586195
70,1243424960,1243425472,[8],0.002019,0.014447,114.926025,747.527363
72,1243425856,1243426368,[8],4.3e-05,0.013575,40.099609,45.382318
73,1243426304,1243426816,[8],6.2e-05,0.020668,108.897705,162.729009
75,1243427200,1243427712,[9],0.014691,0.050636,61.924561,712.403857
76,1243427648,1243428160,[9],0.001595,0.013903,399.642578,469.617244
78,1243428544,1243429056,[9],0.024427,0.05033,356.406982,1245.077332
80,1243429440,1243429952,[9],0.012346,0.023912,37.859619,660.822381
82,1243430336,1243430848,[9],0.047324,0.081023,383.99292,843.008816
83,1243430784,1243431296,"[9,10]",0.032219,0.0676,273.416504,1655.110571
84,1243431232,1243431744,[10],0.0022,0.372515,203.624268,3250.321901
85,1243431680,1243432192,[10],0.004071,0.025315,296.11084,58.059679
86,1243432128,1243432640,[10],0.003906,0.016509,130.895508,5886.97651
87,1243432576,1243433088,[10],0.016829,0.032039,308.579834,180.525753
88,1243433024,1243433536,[10],0.003557,0.017767,157.861084,119.632123
89,1243433472,1243433984,[10],0.129244,0.248489,239.442139,3567.908109
91,1243434368,1243434880,[10],0.000344,0.004415,390.358154,192.315167
93,1243435264,1243435776,[11],0.042795,0.085419,5.478027,18.663178
94,1243435712,1243436224,[11],0.003689,0.012581,11.494141,34.985451
96,1243436608,1243437120,[11],6.8e-05,0.021965,281.759033,144.601511
97,1243437056,1243437568,[11],2.7e-05,0.021069,360.44043,23.48056
98,1243437504,1243438016,[11],0.013178,0.019213,115.442627,10.122787
99,1243437952,1243438464,[11],8.3e-05,0.060157,120.432861,2409.678766
102,1243439296,1243439808,[12],0.029701,0.068693,446.605713,33.186499
105,1243440640,1243441152,[12],0.00769,0.022598,73.208984,3865.836451
106,1243441088,1243441600,[12],0.001005,0.352637,359.060791,8177.885145
107,1243441536,1243442048,[12],0.000164,0.050886,309.88916,17.328938
108,1243441984,1243442496,[12],3.1e-05,0.002835,232.542969,919.205147
